datestamp,studentid,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
2022-10-28 10:35:41,1025666940,B,B,B,B,B,B,C,99,C,D,D,B,A,C,A,A,A,B,A,C
2022-10-18 17:56:56,1025667609,B,B,B,B,B,C,D,C,C,A,99,99,99,99,A,B,A,A,D,A
2022-10-24 10:56:40,1025769445,D,B,99,C,C,D,A,D,B,C,A,A,B,D,B,99,B,A,99,99
2022-10-24 11:08:28,1029301390,B,C,B,A,99,99,C,A,99,B,D,A,B,A,A,99,99,99,A,99
2022-10-18 17:57:47,1031155774,A,B,B,D,B,C,C,C,B,D,D,A,A,C,A,B,C,A,A,99
2022-10-18 12:56:57,1032026675,A,C,B,B,B,A,C,B,B,A,B,A,C,A,B,B,D,A,B,C
2022-10-19 11:57:46,1033375212,99,A,99,C,B,99,99,B,A,C,99,D,C,A,B,C,A,D,C,A
2022-10-18 18:19:01,1033493951,B,B,D,D,B,B,C,C,D,D,,A,A,C,A,C,D,A,A,A
2022-10-18 17:28:37,1033496696,A,A,B,B,B,C,D,A,C,B,B,A,B,C,C,A,A,C,99,99
2022-10-24 12:21:26,1033654883,B,C,B,B,B,B,C,B,C,D,B,C,C,B,A,C,C,C,C,D
2022-10-24 12:41:35,1033657711,B,A,C,A,C,B,B,C,C,B,A,D,B,D,D,B,A,A,B,99
2022-10-18 17:10:43,1034923119,D,B,B,C,B,B,C,C,D,B,D,D,D,C,D,A,D,B,99,99
2022-10-18 17:36:55,1035330448,A,B,B,B,B,C,A,A,D,C,A,C,A,C,A,B,A,D,D,B
2022-10-08 13:28:02,1035480375,D,C,B,B,B,C,D,A,D,C,A,C,A,B,B,C,A,B,A,C
2022-10-08 14:16:42,1035771217,A,B,B,,B,C,D,A,D,B,A,C,A,C,A,A,A,A,D,A
2022-10-24 11:58:13,1035917989,B,B,B,D,C,D,D,B,,99,A,A,C,A,99,99,99,99,99,99
2022-10-18 12:09:56,1036133627,B,C,B,B,C,D,C,D,C,D,B,D,D,D,C,B,99,99,99,99
2022-10-11 11:09:37,1036224676,B,C,B,A,C,A,B,D,D,B,B,A,A,C,C,D,C,D,B,D
2022-10-08 13:39:50,1036224882,D,B,B,B,C,B,D,C,,A,A,A,A,C,B,B,C,A,D,A
2022-10-18 17:24:23,1036225018,A,B,B,B,,C,A,A,A,A,B,C,B,B,A,D,C,B,C,C
2022-10-24 12:33:23,1036261136,B,C,B,B,B,B,D,C,D,D,A,A,,C,,B,A,C,D,A
2022-10-24 11:50:48,1036261214,D,,B,B,B,B,C,B,A,D,B,B,C,B,99,A,D,A,99,99
2022-10-24 12:35:33,1036261447,C,B,B,A,B,C,C,B,C,B,D,A,D,D,C,D,99,C,A,99
2022-10-28 10:29:43,1036363095,B,C,B,C,B,D,D,C,A,B,A,C,A,C,A,B,A,A,D,A
2022-10-28 10:33:58,1036363207,B,B,B,B,B,B,C,C,A,B,D,A,A,C,A,A,A,D,D,A
2022-10-28 10:18:22,1036363214,A,C,B,B,B,C,D,C,A,B,A,C,A,C,A,B,A,A,D,A
2022-10-28 10:27:50,1036363421,C,B,B,B,B,B,D,C,A,A,A,B,A,C,C,B,A,B,B,A
2022-10-28 10:14:55,1036363452,B,B,B,B,B,C,D,C,A,B,A,A,C,C,A,B,D,B,D,A
2022-10-28 10:26:25,1036363463,C,C,B,B,A,B,C,B,A,C,A,B,C,C,A,B,C,B,A,A
2022-10-28 10:38:09,1036363466,99,C,B,B,A,B,C,B,A,D,A,B,C,C,A,B,A,99,A,A
2022-10-01 12:22:48,1036840520,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-01 11:43:20,1036946520,A,C,B,B,B,D,C,B,C,D,B,A,C,C,B,B,B,A,D,D
2022-10-01 11:54:09,1036946858,A,C,B,B,B,D,C,C,A,B,D,C,A,C,A,C,D,D,A,A
2022-10-20 13:09:48,1036948683,A,C,B,B,B,D,D,B,D,D,A,B,D,C,C,D,B,B,C,C
2022-10-01 11:36:51,1036951110,D,B,B,D,B,D,C,B,D,A,A,C,D,C,A,B,A,A,A,C
2022-10-18 18:11:25,1036952385,B,B,C,B,B,C,B,D,A,C,A,C,D,B,C,B,C,D,D,B
2022-10-24 12:03:56,1036954418,A,A,B,C,B,C,B,C,B,A,B,A,A,A,A,B,A,A,99,99
2022-10-24 12:00:09,1036954668,C,C,B,B,B,C,B,,D,D,D,D,C,B,D,C,C,C,B,C
2022-10-24 12:13:37,1036954725,A,C,B,B,B,B,D,C,D,B,A,B,A,C,A,B,D,D,99,99
2022-10-24 12:11:31,1036955962,B,B,B,B,B,D,B,C,D,A,A,B,A,C,A,A,D,A,B,A
2022-10-01 12:49:23,1037238088,B,99,99,99,99,99,99,99,99,B,99,99,99,99,99,99,99,99,99,99
2022-10-19 11:54:58,1037481526,99,C,99,B,B,99,C,C,A,A,A,B,B,B,99,99,99,99,99,99
2022-10-19 12:14:29,1037482283,99,C,C,D,B,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-19 10:53:13,1037482286,D,C,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,A
2022-10-19 11:31:43,1037482339,C,C,99,D,B,99,D,A,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-19 11:34:32,1037482340,99,C,B,B,A,B,C,A,B,A,D,99,99,99,99,99,99,99,99,99
2022-10-24 13:06:13,1037482545,99,B,B,C,C,B,C,C,D,A,A,B,B,A,A,A,D,A,A,B
2022-10-19 11:29:42,1037482767,A,C,B,B,A,B,C,A,B,A,D,B,99,99,99,99,99,99,99,99
2022-10-19 11:48:17,1037482836,A,D,99,B,C,A,B,99,A,D,C,B,C,B,99,99,99,99,A,D
2022-10-19 10:58:05,1037483068,A,C,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,A
2022-10-24 13:27:15,1037483143,A,B,B,C,B,C,C,C,C,A,A,C,A,D,A,B,D,C,D,D
2022-10-24 13:38:45,1037483219,A,B,B,B,B,C,D,C,C,B,C,C,A,C,A,C,D,C,D,D
2022-10-19 10:51:32,1037483256,B,C,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,B
2022-10-24 12:59:49,1037483272,99,A,B,C,C,B,D,C,D,A,A,A,A,C,A,B,D,A,D,A
2022-10-24 13:03:59,1037483371,D,B,B,C,C,B,C,C,C,A,A,C,C,A,A,B,D,A,A,A
2022-10-19 11:27:14,1037483520,A,99,99,C,B,C,99,99,C,99,99,99,B,B,B,D,A,A,A,C
2022-10-24 13:02:05,1037483578,99,B,B,C,C,B,D,C,D,A,,C,C,A,A,B,D,A,A,A
2022-10-24 13:21:29,1037483611,A,B,B,C,B,B,D,C,C,A,A,C,A,D,A,B,A,D,D,D
2022-10-24 13:10:07,1037483801,A,99,B,B,B,B,C,C,B,B,D,A,A,C,A,C,D,A,A,A
2022-10-24 13:23:02,1037483802,99,B,B,C,B,B,C,C,C,A,A,99,A,D,A,B,A,D,D,D
2022-10-19 11:22:23,1037484176,D,99,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,A
2022-10-08 13:45:49,1037974490,A,C,B,B,C,A,D,A,D,B,A,C,A,C,A,D,A,A,D,A
2022-10-08 15:09:06,1037974673,A,B,B,B,B,C,D,A,D,B,A,C,A,C,A,B,A,A,D,A
2022-10-08 15:17:21,1037975422,A,C,A,B,C,C,A,C,A,D,D,A,A,C,B,A,A,B,B,B
2022-10-08 14:05:46,1037975433,C,B,B,C,D,A,B,C,A,B,C,A,D,A,B,C,D,A,A,B
2022-10-11 10:37:27,1037975833,D,D,B,C,C,D,D,A,D,A,C,C,D,C,A,D,D,B,A,B
2022-10-18 17:31:49,1037975952,A,C,B,C,B,B,C,C,A,D,A,C,D,C,A,A,A,B,B,B
2022-10-08 14:46:07,1037975968,B,C,B,B,B,B,D,D,A,C,C,B,A,D,D,A,A,A,A,C
2022-10-18 17:15:08,1037975970,A,C,B,B,A,D,D,C,C,D,B,A,A,A,A,D,A,A,A,D
2022-10-08 14:36:55,1037975993,A,B,B,B,B,C,D,A,D,B,A,C,A,C,A,B,A,A,D,A
2022-10-08 14:29:40,1037976030,B,B,B,A,B,B,C,C,A,A,A,B,C,B,B,C,A,D,B,B
2022-10-08 14:21:29,1037976085,A,B,B,B,B,C,D,A,D,B,A,C,A,C,A,B,A,A,D,A
2022-10-08 13:56:28,1037976213,A,B,B,B,B,C,D,A,D,B,A,C,A,C,A,B,A,A,D,A
2022-10-24 12:30:17,1038414106,D,B,B,B,B,B,C,C,B,C,A,C,A,C,A,B,A,B,D,A
2022-10-18 17:19:18,1038817612,D,D,99,B,99,99,99,99,B,B,A,A,99,99,99,99,99,99,99,99
2022-10-18 17:28:18,1039311321,99,A,99,B,B,B,C,B,A,A,A,A,A,B,A,99,A,A,C,B
2022-10-24 10:44:39,1039653697,99,B,,D,D,B,A,D,A,D,99,A,B,D,A,C,A,C,B,D
2022-10-18 12:54:25,1039911780,D,C,B,B,C,A,A,A,D,B,B,A,A,C,B,B,A,B,B,C
2022-10-18 18:12:49,1039970396,A,C,B,B,B,C,D,C,C,D,A,C,A,C,A,A,D,D,D,B
2022-10-20 13:06:29,1039970410,C,C,B,D,B,A,D,C,B,A,,D,A,C,A,D,B,C,D,D
2022-10-18 18:16:49,1039970413,B,C,B,A,B,D,B,B,D,C,A,B,B,A,D,C,D,A,A,B
2022-10-18 17:48:05,1039970422,B,C,99,C,B,D,A,B,D,A,D,A,B,A,B,A,D,B,B,B
2022-10-20 12:50:42,1039970455,A,C,B,A,C,C,B,A,D,C,A,A,C,A,C,C,C,C,B,C
2022-10-18 18:04:15,1039970470,D,B,B,B,D,B,D,A,D,C,B,D,B,B,C,C,C,D,B,B
2022-10-18 18:07:43,1039970485,B,C,99,99,99,99,99,99,A,A,99,99,99,99,99,99,99,99,99,99
2022-10-20 12:40:09,1039970503,A,B,B,A,B,C,B,A,C,C,A,B,B,B,B,B,B,B,A,C
2022-10-18 17:21:19,1039970504,99,C,A,B,A,B,A,C,D,D,A,B,B,A,A,B,D,D,A,99
2022-10-18 17:16:16,1039970508,B,B,99,B,99,99,D,B,B,C,B,C,B,A,B,99,99,A,B,99
2022-10-18 18:13:33,1039970517,A,B,99,C,D,99,99,C,D,B,B,B,C,D,B,99,A,C,B,99
2022-10-20 13:03:05,1039970544,A,B,B,B,B,D,D,A,D,D,A,C,A,C,B,B,A,A,D,A
2022-10-18 17:55:16,1039970555,C,B,B,B,C,C,A,A,A,C,D,C,B,A,,C,D,C,C,D
2022-10-18 17:37:21,1039970566,A,C,B,B,,C,B,C,D,B,C,B,A,B,D,B,A,D,B,C
2022-10-18 17:41:23,1039970569,B,C,D,D,99,99,99,99,99,99,99,99,99,99,D,D,99,99,D,99
2022-10-18 18:09:42,1039970576,A,99,B,B,B,D,A,C,A,A,B,C,A,D,A,B,D,D,A,C
2022-10-18 17:52:53,1039970580,A,A,99,B,A,99,B,B,A,99,A,A,A,A,B,99,A,A,A,D
2022-10-18 17:26:04,1039970610,D,B,A,B,B,B,C,C,C,A,B,C,B,C,A,B,D,A,A,A
2022-10-18 17:47:50,1039970631,A,B,B,A,C,D,A,C,B,D,D,C,A,C,C,D,A,B,C,D
2022-10-08 14:56:01,1040576616,D,C,B,B,C,D,D,C,D,A,A,D,A,D,A,C,D,C,D,A
2022-10-11 10:56:32,1040878458,B,C,B,D,B,B,D,C,D,B,A,B,B,C,A,B,D,C,D,A
2022-10-18 18:10:27,1040879960,D,C,A,B,B,C,D,C,B,B,A,B,B,C,A,D,A,C,B,A
2022-10-24 12:27:15,1040882350,A,C,B,D,C,C,C,C,B,C,D,A,C,A,A,C,C,D,D,B
2022-10-08 14:50:21,1040882512,D,C,A,A,B,B,B,C,D,C,C,A,B,B,C,A,A,D,B,A
2022-10-24 12:44:23,1040882842,A,C,B,B,B,B,D,C,D,B,A,B,A,C,A,B,D,D,99,99
2022-10-24 12:15:46,1040883168,A,99,99,99,99,99,B,C,D,A,A,C,A,C,A,C,D,B,D,C
2022-10-01 12:25:24,1040883525,A,99,A,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-18 17:17:45,1040883844,B,D,B,A,B,D,B,A,D,A,B,A,B,A,99,99,99,99,99,99
2022-10-01 12:29:03,1040884397,D,99,99,99,99,99,99,99,A,99,99,99,99,99,99,99,99,99,99,99
2022-10-18 17:50:04,1041203321,C,B,B,B,B,B,C,C,B,B,D,C,A,C,A,A,A,B,A,A
2022-10-20 12:43:21,1041203921,A,A,B,A,C,B,C,C,C,C,B,C,D,B,B,C,A,C,B,D
2022-10-20 12:06:43,1041203965,B,C,B,B,A,B,C,C,B,C,C,B,B,C,B,B,B,B,B,C
2022-10-20 12:48:27,1041204030,A,B,B,B,B,C,B,A,A,A,C,A,A,C,A,B,B,A,A,D
2022-10-18 17:30:02,1041204357,99,C,B,B,A,A,C,A,B,D,B,A,B,99,C,99,C,C,99,99
2022-10-01 11:38:55,1041232082,D,C,B,B,B,D,A,C,A,A,D,D,A,D,A,A,D,A,B,A
2022-10-01 11:56:24,1041232095,B,C,B,D,B,C,C,C,C,B,A,B,A,C,A,B,D,A,A,A
2022-10-01 11:48:14,1041232112,A,D,B,B,D,C,C,C,B,A,A,C,B,C,C,A,A,C,A,A
2022-10-01 11:35:17,1041232266,A,C,B,B,B,C,C,C,C,B,C,C,A,C,A,B,D,D,D,A
2022-10-01 11:50:15,1041232272,D,C,B,B,B,B,D,C,D,B,A,A,D,C,A,D,D,C,A,A
2022-10-01 11:41:12,1041232365,A,C,B,B,C,D,D,C,B,C,A,D,A,B,C,C,D,A,D,B
2022-10-01 11:32:13,1041232569,D,B,B,B,B,D,D,C,B,B,,D,A,C,A,B,A,B,D,A
2022-10-01 11:29:35,1041232590,B,B,B,B,B,C,C,C,D,B,A,C,A,C,A,B,A,B,D,A
2022-10-01 11:20:53,1041232724,A,C,B,B,B,B,D,C,B,C,A,D,A,C,A,A,D,B,B,A
2022-10-01 11:03:51,1041233025,B,C,B,B,B,D,D,C,D,B,A,A,A,C,A,B,D,B,A,A
2022-10-01 11:12:09,1041233045,A,B,B,C,B,B,D,C,C,A,A,D,B,C,A,B,B,B,A,B
2022-10-01 12:56:09,1041233092,C,D,99,C,A,B,C,D,B,C,99,99,99,99,99,99,99,99,99,99
2022-10-01 11:01:11,1041233097,A,C,B,A,B,B,C,A,A,A,A,A,A,C,A,A,B,D,A,A
2022-10-01 10:58:36,1041233264,B,C,B,A,B,D,A,B,D,B,A,A,D,D,A,D,D,B,A,D
2022-10-01 12:00:14,1041233294,D,A,B,C,B,99,C,C,C,C,D,B,D,B,99,99,99,99,D,A
2022-10-01 12:43:46,1041233416,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-01 12:41:54,1041233884,A,99,B,B,B,B,99,B,C,A,99,B,C,A,D,C,A,A,99,99
2022-10-24 12:25:33,1041328413,B,C,B,B,B,B,C,B,A,D,C,A,A,D,A,B,C,A,A,C
2022-10-24 11:56:34,1041328485,C,D,D,A,C,B,A,A,C,A,D,C,B,A,A,A,A,C,A,C
2022-10-24 12:09:30,1041328490,C,C,B,B,A,A,D,B,D,B,99,B,A,C,A,D,A,C,B,A
2022-10-18 12:51:36,1041352935,D,C,B,B,D,D,D,A,D,A,B,D,A,C,A,C,C,D,D,B
2022-10-18 17:23:32,1041353186,D,C,B,A,B,C,D,C,A,D,B,C,B,C,C,A,B,A,A,B
2022-10-24 11:06:12,1042734086,,C,B,A,A,A,C,A,C,B,D,A,C,B,A,99,B,A,A,D
2022-10-24 11:13:30,1042734237,B,B,B,C,D,A,D,C,A,C,D,B,A,C,D,B,C,D,B,A
2022-10-24 11:15:11,1042734265,D,D,B,C,A,B,B,A,A,C,D,C,A,C,B,B,A,C,,C
2022-10-24 10:29:04,1042734275,B,B,B,D,99,99,B,B,D,D,A,A,D,D,A,A,D,B,99,B
2022-10-24 11:10:16,1042734345,B,C,99,C,C,B,B,A,C,B,C,D,B,D,A,B,A,A,C,D
2022-10-24 11:11:47,1042734424,B,B,B,B,B,D,A,A,A,A,A,A,A,C,C,A,D,C,D,A
2022-10-24 10:31:11,1042734443,B,B,D,B,B,B,C,C,C,C,C,A,A,A,C,A,B,A,A,A
2022-10-24 10:46:24,1042734477,D,B,B,B,B,B,B,B,A,B,B,C,B,A,B,B,99,C,C,B
2022-10-08 15:22:04,1044532263,A,B,B,B,B,C,C,C,D,C,A,C,A,C,A,B,A,A,A,D
2022-10-24 10:35:31,1045511538,B,B,B,D,D,D,C,B,A,D,B,D,B,C,A,B,B,A,A,A
2022-10-24 13:34:59,1045513667,99,B,B,B,B,C,D,C,C,B,C,C,A,C,A,C,D,C,D,D
2022-10-18 12:30:28,1048020052,B,C,B,B,B,A,C,B,A,C,D,B,B,C,A,B,C,D,A,99
2022-10-08 15:33:39,1054564367,D,C,B,B,B,C,C,B,D,A,C,C,D,A,C,C,A,C,B,D
2022-10-18 17:33:34,1054564405,A,B,C,C,A,B,A,A,C,D,,C,A,A,D,C,,A,C,C
2022-10-11 11:26:40,1057096501,D,A,B,C,C,C,A,A,A,B,A,A,A,B,C,C,A,D,D,A
2022-10-18 17:10:26,1057096543,B,C,B,B,B,D,C,B,B,B,A,A,A,C,A,A,D,C,D,99
2022-10-24 13:36:51,1067170320,99,B,B,,B,C,C,B,C,B,A,C,A,C,A,C,D,D,D,D
2022-10-19 10:55:45,1067905662,C,A,B,B,A,B,C,A,B,A,B,A,B,B,B,C,D,A,B,A
2022-10-18 18:16:39,1069492918,D,C,B,B,B,B,D,C,D,B,A,A,B,C,A,B,C,D,B,B
2022-10-24 10:39:22,1077462570,B,B,B,C,C,D,A,A,D,A,A,C,D,C,A,A,A,D,A,A
2022-10-24 10:50:49,1079292530,B,B,B,A,C,B,D,C,C,C,D,A,B,B,A,B,C,D,A,C
2022-10-24 11:01:47,1079292656,B,B,B,B,B,B,A,A,A,A,A,A,A,C,C,A,D,C,D,A
2022-10-18 17:50:52,1105384635,A,A,B,B,C,C,A,C,A,C,B,A,B,C,A,B,C,A,C,B
2022-10-20 12:15:34,1109925320,B,D,B,B,A,A,A,C,A,A,A,B,A,C,A,B,D,A,D,A
2022-10-24 11:49:16,1127056377,B,C,B,B,C,C,D,A,D,B,A,B,C,B,D,,D,C,D,B
2022-10-01 11:52:21,1127958030,D,C,B,B,A,D,D,B,A,A,D,D,A,A,A,B,A,A,B,A
2022-10-24 11:16:51,1128604805,C,C,99,C,C,C,C,A,A,C,A,A,C,C,A,C,C,C,C,D
2022-10-24 10:33:25,1128804513,B,B,B,B,B,D,B,B,A,B,A,B,B,A,A,A,B,A,C,A
2022-10-24 13:12:30,1129685157,C,C,B,A,B,B,C,C,D,A,A,99,A,B,B,A,B,D,D,D
2022-10-19 11:24:18,1129685273,D,C,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,A
2022-10-24 12:53:42,1129685389,99,99,B,A,B,A,C,C,D,A,D,A,C,A,A,A,C,C,A,A
2022-10-24 13:32:51,1129685611,99,B,B,C,B,C,D,C,C,B,C,C,A,C,A,C,D,C,D,D
2022-10-19 12:08:02,1138086219,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-24 13:29:02,1148142998,99,B,B,B,B,C,D,C,C,B,C,C,A,C,A,C,D,C,D,D
2022-10-24 10:37:35,1148203025,B,B,B,C,C,C,A,A,C,B,A,C,D,A,A,A,A,D,A,A
2022-10-24 10:49:04,1148203601,B,B,B,D,B,99,C,B,99,D,A,B,99,99,A,D,99,99,99,99
2022-10-24 11:03:41,1148203819,99,C,99,,99,,,,99,C,99,A,99,C,B,A,B,A,B,C
2022-10-24 10:54:33,1148203822,B,B,B,C,B,D,D,C,A,C,B,C,D,C,D,B,D,C,D,C
2022-10-19 10:49:17,1148204813,D,C,B,B,B,A,D,C,C,A,B,B,C,C,D,A,A,B,A,99
2022-10-01 11:27:02,1157213007,A,B,B,B,C,B,C,C,B,B,A,B,B,B,A,C,D,B,B,A
2022-10-18 18:07:35,1157213410,A,B,B,B,B,A,A,C,D,A,A,A,A,C,B,A,A,B,B,A
2022-10-01 10:54:14,1157213432,A,B,99,B,C,A,C,C,D,A,A,A,A,A,D,A,B,C,D,B
2022-10-24 12:39:49,1157213640,D,B,B,B,A,B,C,C,D,B,,C,B,C,B,B,C,A,B,A
2022-10-24 12:31:52,1157213716,D,B,B,B,B,B,D,C,C,C,A,D,B,C,A,B,B,A,B,A
2022-10-24 10:58:33,1200714591,C,B,B,C,C,C,D,99,A,B,99,99,99,99,99,99,99,99,99,99
2022-10-24 12:07:47,1201234761,D,B,B,B,B,B,C,B,,D,A,B,A,C,A,B,D,B,A,A
2022-10-11 12:14:04,1234567891,A,C,B,B,B,C,D,C,D,A,D,D,A,D,A,C,C,C,D,A
2022-10-24 12:05:39,1234657789,A,C,B,C,B,B,C,C,C,B,B,D,A,C,A,D,B,B,B,A
2022-10-24 13:07:59,1641268842,,B,B,C,C,B,C,C,C,A,A,A,C,A,A,B,D,A,A,D
2022-10-24 10:41:49,3458797444,B,B,B,D,D,D,C,A,B,C,A,B,B,C,A,B,B,C,B,B
2022-10-18 17:21:07,7620470254,D,C,B,B,C,B,A,A,D,B,A,A,A,B,B,A,99,99,99,99
2022-10-06 09:54:46,8888888888,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-01 12:45:35,75854940306,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-24 11:53:23,76264477938,A,C,B,B,B,B,C,B,C,A,A,A,D,C,C,B,A,D,A,A
2022-10-24 11:25:52,76264630653,D,C,B,B,C,D,D,C,99,99,A,C,A,C,A,C,A,D,D,A
2022-10-01 12:54:10,837925124062013,99,C,A,99,99,99,B,99,A,99,99,C,B,99,A,B,99,B,B,B
